"origin","dest","dist","time"
"36.6090185732137+-77.5566272552284","37.7942071041792+-76.9755882614983",170489,6143
"36.8027200657116+-78.873004972692","37.7942071041792+-76.9755882614983",240686,9830
"37.2097513861398+-82.2879183506656","37.7942071041792+-76.9755882614983",633470,23221
"37.7235204760459+-77.5311722138376","37.7942071041792+-76.9755882614983",68007,3281
"37.5848881972744+-77.3434915992671","37.7942071041792+-76.9755882614983",48295,2354
"37.7441561690184+-77.4732029427326","37.7942071041792+-76.9755882614983",61113,2997
"37.7318167608327+-77.670605418252","37.7942071041792+-76.9755882614983",81675,3846
"37.5880939078591+-77.3233026337077","37.7942071041792+-76.9755882614983",46176,2180
"38.9852363519155+-77.6824842274345","37.7942071041792+-76.9755882614983",202001,8608
"38.0863362020811+-78.892671515067","37.7942071041792+-76.9755882614983",206233,7735
"37.1018678303457+-79.8860272283222","37.7942071041792+-76.9755882614983",382677,13699
"37.3493788607874+-79.8189857418459","37.7942071041792+-76.9755882614983",344652,12124
"38.7007391437907+-77.377317087936","37.7942071041792+-76.9755882614983",157969,6450
"38.6672467545801+-77.3700329698023","37.7942071041792+-76.9755882614983",153883,6307
"38.6914829211258+-77.2946902096962","37.7942071041792+-76.9755882614983",154351,6104
"38.8531452264117+-77.5774706256571","37.7942071041792+-76.9755882614983",182085,7659
"37.0571057078121+-76.3721187675709","37.7942071041792+-76.9755882614983",119245,4976
"37.0292627182039+-76.3192945998954","37.7942071041792+-76.9755882614983",125751,5131
"37.0189130384179+-76.3218734003424","37.7942071041792+-76.9755882614983",125749,5088
"37.005570443659+-82.57797491939","37.7942071041792+-76.9755882614983",628133,22617
"37.0277555553153+-76.3075820787805","37.7942071041792+-76.9755882614983",127759,5320
"37.2171864696694+-76.5232799292886","37.7942071041792+-76.9755882614983",92874,4475
"37.1926891009868+-76.425214995148","37.7942071041792+-76.9755882614983",102497,4918
"36.8508511422243+-76.3277989857112","37.7942071041792+-76.9755882614983",151640,6019
"36.837845572286+-76.3011904675026","37.7942071041792+-76.9755882614983",154888,6319
"36.8277289046274+-76.3432780093611","37.7942071041792+-76.9755882614983",155272,6264
"36.8270234275483+-76.3774584035851","37.7942071041792+-76.9755882614983",151677,6218
"36.7939908500736+-76.3552389185358","37.7942071041792+-76.9755882614983",157669,6278
"36.9841364203535+-76.4013386467966","37.7942071041792+-76.9755882614983",126088,5179
"36.9741088062648+-76.4225116674232","37.7942071041792+-76.9755882614983",129938,5243
"37.0576570100821+-76.5053733580148","37.7942071041792+-76.9755882614983",116849,5088
"37.0079068318701+-76.4378642295759","37.7942071041792+-76.9755882614983",121124,5300
"36.886142133729+-76.2276385436294","37.7942071041792+-76.9755882614983",172212,6754
"36.8739272087358+-76.2427895195581","37.7942071041792+-76.9755882614983",164844,6864
"36.9404374152131+-76.253499883899","37.7942071041792+-76.9755882614983",169903,7238
"36.9080723374356+-76.2673075282771","37.7942071041792+-76.9755882614983",161335,6880
"36.9374570710757+-76.2390133148771","37.7942071041792+-76.9755882614983",170638,7317
"36.8820394537953+-76.2569952546777","37.7942071041792+-76.9755882614983",163588,6782
"36.859859818287+-76.2917702769681","37.7942071041792+-76.9755882614983",155338,6398
"36.8559299859979+-76.2539242695579","37.7942071041792+-76.9755882614983",162299,6557
